Config Number,t2,a,w2,t3,w1,t1,Mass (kg),Max Von Mises Stress (MPa),Max Displacement (mm)
154,32,90,240,72,120,40,414.515 kg,5.21899 MPa,0.0300633 mm
155,32,90,240,72,120,50,434.675 kg,3.32151 MPa,0.025652 mm
156,32,90,240,72,120,60,454.835 kg,2.84676 MPa,0.0222277 mm
157,32,90,240,72,150,40,434.675 kg,3.39398 MPa,0.0269335 mm
158,32,90,240,72,150,50,459.875 kg,5.33566 MPa,0.0228964 mm
159,32,90,240,72,150,60,485.075 kg,5.98938 MPa,0.0199036 mm
160,32,90,240,72,180,40,454.835 kg,3.5242 MPa,0.0248141 mm
161,32,90,240,72,180,50,485.075 kg,2.72455 MPa,0.0209534 mm
162,32,90,240,72,180,60,515.315 kg,4.65776 MPa,0.0181863 mm
163,32,108,160,48,120,40,264.516 kg,10.6651 MPa,0.039667 mm
164,32,108,160,48,120,50,284.676 kg,10.4716 MPa,0.0333899 mm
165,32,108,160,48,120,60,304.836 kg,7.10213 MPa,0.0253296 mm
166,32,108,160,48,150,40,284.676 kg,10.693 MPa,0.0354475 mm
167,32,108,160,48,150,50,309.876 kg,8.88652 MPa,0.0297582 mm
168,32,108,160,48,150,60,335.076 kg,6.56454 MPa,0.0230953 mm
169,32,108,160,48,180,40,304.836 kg,9.28165 MPa,0.0324488 mm
170,32,108,160,48,180,50,335.076 kg,8.38345 MPa,0.0272194 mm
171,32,108,160,48,180,60,365.316 kg,4.32563 MPa,0.0215466 mm
172,32,108,160,60,120,40,296.772 kg,4.44977 MPa,0.0336568 mm
173,32,108,160,60,120,50,316.932 kg,3.4271 MPa,0.0270502 mm
174,32,108,160,60,120,60,337.092 kg,3.76728 MPa,0.0234947 mm
175,32,108,160,60,150,40,316.932 kg,4.11662 MPa,0.0301181 mm
176,32,108,160,60,150,50,342.132 kg,3.4795 MPa,0.0241939 mm
177,32,108,160,60,150,60,367.332 kg,3.32768 MPa,0.0209691 mm
178,32,108,160,60,180,40,337.092 kg,3.85504 MPa,0.0276629 mm
179,32,108,160,60,180,50,367.332 kg,2.78642 MPa,0.0221941 mm
180,32,108,160,60,180,60,397.572 kg,3.69823 MPa,0.0191696 mm
